company,title,location,regions,salary_min,salary_max
natwest group,"data engineer, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest group,"software engineer, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest group,"principal engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"data scientist, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest group,"service manager, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"principal engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"data scientist, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"data analyst, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"scrum master, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"solution architect, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"data scientist, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest group,"portfolio manager, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"data scientist, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"data scientist, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"devops engineer, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest digitalx,"principal engineer, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest digitalx,"testing manager, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"quality manager, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"devops engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"scrum master, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"business analyst, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"business analyst, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"scrum master, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
deutsche bank,vp – risk and trading,india,india,,
qrata,dvp/vp product,"mumbai, maharashtra","india, maharashtra, mumbai",2000000.0,4000000.0
unnati,vp - business correspondent,"delhi, india","india, delhi",3500000.0,4000000.0
barclays,vp pega lead,india,india,,
yugabytedb,"vp - sales, india",india,india,,
mufg global service ,vp - vendor management,"hyderabad, telangana","india, telangana, hyderabad",,
natwest group,"software engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
barclays,vp solutions architect,"pune, maharashtra","india, maharashtra, pune",,
m&g global services,vp - data engineering,"pune, maharashtra","india, maharashtra, pune",,
citigroup,"automation tester, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
wells fargo,vp- project manager,"bangalore, karnataka","india, karnataka, bangalore",,
wells fargo,vp- project manager,"bangalore, karnataka","india, karnataka, bangalore",,
benovymed healthcare,vp / regional manager,"surat, gujarat","india, gujarat, surat",,
jpmorganchase,product development - vp,"bangalore, karnataka","india, karnataka, bangalore",,
